1200,0.26
1255,0.32
1335,0.41
1365,0.39
1460,0.3
1520,9.1
1565,2.32
1590,1.04
1620,0.81
1730,0.73
1800,0.9
1834,0.98
1872,1.1
1920,1.14
1972,0.3
2032,0.93
2072,0.36
2110,0.56
2142,0.28
2158,0.32
2188,0.44
2232,0.27
2284,0.75
2336,0.44
2378,0.23
2428,0.65
2462,0.43
2476,2.09
2505,1.81
2505.1,1.68
2507,1.82
2507.2,2.01
2507.31,1.64
2509.18,1.88
2509.33,2
2510.45,1.7
2510.78,1.45
2511.81,0.66
2514.1,2.01
2514.21,1.66
2518.2,1.73
2519.13,1.37
2521.09,1.78
2528,1.36
2574,2.51
2604,3.02
2652,2.5
2704,1.97
2750,2.51
2788,3.83
2813.01,0.08
2814.8,0.1
2814.93,0.08
2832,1.45
2880,0.96
2900.82,0.45
2901.02,0.27
2901.42,0.35
2902.21,0.1
2905.01,0.28
2920,1.43
2938,1.98
2960,1.75
2980,1.45
3000,1.16
