DEPT,DT,GR,M2R1,M2R2,M2R3,M2R6,M2R9,M2RX,SP,ZDEN
M,US/FT,gAPI,OHMM,OHMM,OHMM,OHMM,OHMM,OHMM,mV,G/C3
1322.4001,101.476,157.4857,1.6233,1.6233,1.605,1.605,1.6033,1.6033,-999.25,-999.25
1322.5001,101.2565,156.9579,1.6365,1.6365,1.6248,1.6248,1.6166,1.6166,-999.25,-999.25
1322.6001,100.9683,156.4412,1.6447,1.6447,1.6395,1.6395,1.6342,1.6342,-999.25,-999.25
1322.7001,100.6456,155.9114,1.6527,1.6527,1.6541,1.6541,1.6527,1.6527,-999.25,-999.25
1322.8001,100.3276,155.382,1.6659,1.6659,1.6738,1.6738,1.666,1.666,-999.25,-999.25
1322.9001,100.0132,154.8654,1.67,1.67,1.68,1.68,1.6789,1.6789,-999.25,-999.25
1323.0001,99.6894,154.0883,1.67,1.67,1.68,1.68,1.6921,1.6921,-999.25,-999.25
1323.1001,99.3796,152.0746,1.67,1.67,1.68,1.68,1.705,1.705,-999.25,-999.25
1323.2001,99.0576,150.0089,1.67,1.67,1.68,1.68,1.7183,1.7183,-999.25,-999.25
1323.3001,98.7339,147.9425,1.67,1.67,1.68,1.68,1.7315,1.7315,-999.25,-999.25
1323.4001,98.4241,145.9289,1.67,1.67,1.68,1.68,1.7444,1.7444,-999.25,-999.25
1323.5001,98.1021,143.8608,1.6623,1.6623,1.6723,1.6723,1.7385,1.7385,-999.25,-999.25
1323.6001,97.8427,142.0488,1.6495,1.6495,1.6591,1.6591,1.7186,1.7186,-999.25,-999.25
1323.7001,98.4429,143.5526,1.6431,1.6431,1.6462,1.6462,1.6992,1.6992,-999.25,-999.25
1323.8001,99.0622,145.0952,1.6329,1.6329,1.6329,1.6329,1.6794,1.6794,-999.25,-999.25
1323.9001,99.6692,146.6001,1.62,1.62,1.62,1.62,1.66,1.66,-999.25,-999.25
1324.0001,100.2855,148.1373,1.6068,1.6068,1.6068,1.6068,1.6401,1.6401,-999.25,-999.25
1324.1001,101.0859,149.6766,1.5773,1.5773,1.6162,1.6162,1.6203,1.6203,-999.25,-999.25
1324.2001,102.0548,151.1816,1.5321,1.5321,1.6485,1.6485,1.6009,1.6009,-999.25,-999.25
1324.3001,103.0475,150.257,1.4857,1.4857,1.6816,1.6816,1.5368,1.5368,-999.25,-999.25
1324.4001,104.0405,149.2177,1.4394,1.4394,1.7147,1.7147,1.4706,1.4706,-999.25,-999.25
1324.5001,105.0106,148.2023,1.3941,1.3941,1.7471,1.7471,1.4059,1.4059,-999.25,-999.25
1324.6001,106.0043,149.0576,1.4323,1.4323,1.6836,1.6836,1.4362,1.4362,-999.25,-999.25
1324.7001,107.0423,150.097,1.4786,1.4786,1.6108,1.6108,1.4786,1.4786,-999.25,-999.25
1324.8001,108.1201,151.1103,1.5238,1.5238,1.5398,1.5398,1.5238,1.5238,-999.25,-999.25
1324.9001,109.2203,158.5946,1.5301,1.5301,1.5301,1.5301,1.5701,1.5701,-999.25,-999.25
1325.0001,110.2958,161.88,1.5457,1.5457,1.5457,1.5457,1.6154,1.6154,-999.25,-999.25
1325.1001,111.4009,155.5674,1.5917,1.5917,1.5917,1.5917,1.6617,1.6617,-999.25,-999.25
1325.2001,110.3239,157.9066,1.6379,1.6379,1.6433,1.6433,1.6698,1.6698,-999.25,-999.25
1325.3001,108.8063,160.8276,1.6562,1.6562,1.6643,1.6643,1.643,1.643,-999.25,-999.25
1325.4001,107.2511,160.8416,1.6103,1.6103,1.6118,1.6118,1.5509,1.5509,-999.25,-999.25
1325.5001,105.6931,155.907,1.5282,1.5282,1.5334,1.5334,1.4941,1.4941,-999.25,-999.25
1325.6001,104.1755,149.2669,1.4603,1.4603,1.4703,1.4703,1.4602,1.4602,-999.25,-999.25
